summary_type       , sticker_name     , n_rows, n_clean_recognized_rows, attack_success_rate  , detection_failure_success_rate, embedding_failure_success_rate, stickered_recognized_rate_after_clean_recognition, mean_similarity_drop , median_similarity_drop, mean_clean_similarity, mean_stickered_similarity, mean_sticker_area_ratio, position_name, scale_factor
by_sticker_position, black_bar        ,  150.0,                   132.0, 0.23484848484848486  ,          0.03787878787878788  ,          0.19696969696969696  ,                                0.7651515151515151, 0.12583467676922985  ,  0.107725441455841    ,    0.6764807081222535,        0.5576831806789745,   0.011407586846716776 , nose         ,           
by_sticker_position, butterfly        ,  150.0,                   132.0, 0.22727272727272727  ,          0.007575757575757576 ,          0.2196969696969697   ,                                0.7727272727272727, 0.12410810387164753  ,  0.1067939326167106   ,    0.6764807081222535,        0.5556543457472848,   0.01846974538707345  , mouth_center ,           
by_sticker_position, eyes             ,  150.0,                   132.0, 0.20454545454545456  ,          0.007575757575757576 ,          0.19696969696969696  ,                                0.7954545454545454, 0.11538059781961789  ,  0.0960113406181335   ,    0.6764807081222535,        0.5614312260892967,   0.02475122839569799  , mouth_center ,           
by_sticker_position, eye              ,  150.0,                   132.0, 0.19696969696969696  ,          0.015151515151515152 ,          0.18181818181818182  ,                                0.803030303030303 , 0.11033860271846924  ,  0.10514658689498896  ,    0.6764807081222535,        0.5656165800787307,   0.022290313713362823 , mouth_center ,           
by_sticker_position, sparkling_heart  ,  150.0,                   132.0, 0.19696969696969696  ,          0.0                  ,          0.19696969696969696  ,                                0.803030303030303 , 0.11085173997407156  ,  0.09261313080787655  ,    0.6764807081222535,        0.5656289681481819,   0.016823007937325996 , mouth_center ,           
by_sticker_position, red_heart        ,  150.0,                   132.0, 0.18181818181818182  ,          0.0                  ,          0.18181818181818182  ,                                0.8181818181818182, 0.09616407836476959  ,  0.06996732950210566  ,    0.6764807081222535,        0.5803166297574838,   0.015394461052125169 , mouth_center ,           
by_sticker_position, skin_patch_dark  ,  150.0,                   132.0, 0.17424242424242425  ,          0.007575757575757576 ,          0.16666666666666666  ,                                0.8257575757575758, 0.0951757921568499   ,  0.0923779606819152   ,    0.6764807081222535,        0.5818667897342036,   0.014882142734425959 , nose         ,           
by_sticker_position, sparkling_heart  ,  150.0,                   132.0, 0.17424242424242425  ,          0.007575757575757576 ,          0.16666666666666666  ,                                0.8257575757575758, 0.12406783678487639  ,  0.1046879887580871   ,    0.6764807081222535,        0.5529747451061771,   0.016823007937325996 , nose         ,           
by_sticker_position, random_noise     ,  150.0,                   132.0, 0.16666666666666666  ,          0.015151515151515152 ,          0.15151515151515152  ,                                0.8333333333333334, 0.09421283613286306  ,  0.0746023058891296   ,    0.6764807081222535,        0.583399212415758 ,   0.019958079923031946 , mouth_center ,           
by_sticker_position, pixel_patch      ,  150.0,                   132.0, 0.16666666666666666  ,          0.015151515151515152 ,          0.15151515151515152  ,                                0.8333333333333334, 0.09447152668459187  ,  0.07456672191619865  ,    0.6764807081222535,        0.5831405218640292,   0.0218979143043672   , mouth_center ,           
by_sticker_position, checker_noise    ,  150.0,                   132.0, 0.16666666666666666  ,          0.015151515151515152 ,          0.15151515151515152  ,                                0.8333333333333334, 0.11404663023564053  ,  0.0880364775657653   ,    0.6764807081222535,        0.5635654183129806,   0.023531422877366547 , mouth_center ,           
by_sticker_position, star             ,  150.0,                   132.0, 0.16666666666666666  ,          0.0                  ,          0.16666666666666666  ,                                0.8333333333333334, 0.09975177233417827  ,  0.0796096324920654   ,    0.6764807081222535,        0.5767289357880752,   0.01457512971171352  , mouth_center ,           
by_sticker_position, soft_noise_blob  ,  150.0,                   132.0, 0.1590909090909091   ,          0.015151515151515152 ,          0.14393939393939395  ,                                0.8409090909090909, 0.09423265908215495  ,  0.08644695580005646  ,    0.6764807081222535,        0.5833793894664662,   0.01946998591210523  , nose         ,           
by_sticker_position, adhesive_bandage ,  150.0,                   132.0, 0.1590909090909091   ,          0.007575757575757576 ,          0.15151515151515152  ,                                0.8409090909090909, 0.11001427561644735  ,  0.1004742383956909   ,    0.6764807081222535,        0.5670283062746061,   0.012665017352162963 , nose         ,           
by_sticker_position, sparkles         ,  150.0,                   132.0, 0.15151515151515152  ,          0.0                  ,          0.15151515151515152  ,                                0.8484848484848485, 0.09023229936758675  ,  0.0593195259571075   ,    0.6764807081222535,        0.5862484087546667,   0.01362333780022673  , mouth_center ,           
by_sticker_position, soft_blue_circle ,  150.0,                   132.0, 0.14393939393939395  ,          0.022727272727272728 ,          0.12121212121212122  ,                                0.8560606060606061, 0.07749068293057074  ,  0.0704044476151466   ,    0.6764807081222535,        0.6036273636536239,   0.017668453424045574 , nose         ,           
by_sticker_position, mouth            ,  150.0,                   132.0, 0.14393939393939395  ,          0.0                  ,          0.14393939393939395  ,                                0.8560606060606061, 0.10492672363917031  ,  0.08434128761291501  ,    0.6764807081222535,        0.5715539844830831,   0.014288904923890951 , mouth_center ,           
by_sticker_position, white_flower     ,  150.0,                   132.0, 0.13636363636363635  ,          0.0                  ,          0.13636363636363635  ,                                0.8636363636363636, 0.07601724808414775  ,  0.058829575777053805 ,    0.6764807081222535,        0.6004634600381057,   0.01435058241418405  , nose         ,           
by_sticker_position, black_bar        ,  150.0,                   132.0, 0.12878787878787878  ,          0.0                  ,          0.12878787878787878  ,                                0.8712121212121212, 0.08863936185836788  ,  0.077501431107521    ,    0.6764807081222535,        0.5878413462638855,   0.011407586846716776 , mouth_center ,           
by_sticker_position, soft_blue_circle ,  150.0,                   132.0, 0.12121212121212122  ,          0.015151515151515152 ,          0.10606060606060606  ,                                0.8787878787878788, 0.06541320014543628  ,  0.04880206286907195  ,    0.6764807081222535,        0.6121988484031848,   0.017668453424045574 , mouth_center ,           
by_sticker_position, white_flower     ,  150.0,                   132.0, 0.11363636363636363  ,          0.0                  ,          0.11363636363636363  ,                                0.8863636363636364, 0.05763274088501928  ,  0.04507136344909665  ,    0.6764807081222535,        0.6188479672372341,   0.01435058241418405  , mouth_center ,           
by_sticker_position, skin_patch_light ,  150.0,                   132.0, 0.11363636363636363  ,          0.015151515151515152 ,          0.09848484848484848  ,                                0.8863636363636364, 0.0691565419673114   ,  0.052372500300407354 ,    0.6764807081222535,        0.6084555065813096,   0.014882142734425959 , mouth_center ,           
by_sticker_position, biting_lip       ,  150.0,                   132.0, 0.09848484848484848  ,          0.0                  ,          0.09848484848484848  ,                                0.9015151515151515, 0.09079187912245588  ,  0.0731443911790847   ,    0.6764807081222535,        0.5856888289997975,   0.014847438408411448 , mouth_center ,           
by_sticker_position, skin_patch_medium,  150.0,                   132.0, 0.09848484848484848  ,          0.0                  ,          0.09848484848484848  ,                                0.9015151515151515, 0.0675921358913183   ,  0.0564900338649749   ,    0.6764807081222535,        0.6088885722309351,   0.014882142734425959 , mouth_center ,           
by_sticker_position, skin_patch_dark  ,  150.0,                   132.0, 0.09090909090909091  ,          0.0                  ,          0.09090909090909091  ,                                0.9090909090909091, 0.060343607813119864 ,  0.04997453093528745  ,    0.6764807081222535,        0.6161371003091335,   0.014882142734425959 , mouth_center ,           
by_sticker_position, adhesive_bandage ,  150.0,                   132.0, 0.09090909090909091  ,          0.007575757575757576 ,          0.08333333333333333  ,                                0.9090909090909091, 0.05913473470699065  ,  0.0398077964782714   ,    0.6764807081222535,        0.6179078471840628,   0.012665017352162963 , mouth_center ,           
by_sticker_position, soft_noise_blob  ,  150.0,                   132.0, 0.08333333333333333  ,          0.007575757575757576 ,          0.07575757575757576  ,                                0.9166666666666666, 0.05691845397521183  ,  0.0473408102989196   ,    0.6764807081222535,        0.6201241279158416,   0.01946998591210523  , mouth_center ,           
by_sticker_position, eye              ,  150.0,                   132.0, 0.06818181818181818  ,          0.0                  ,          0.06818181818181818  ,                                0.9318181818181818, 0.0447508583217859   ,  0.0374850928783416   ,    0.6764807081222535,        0.6317298498004675,   0.022290313713362823 , lower_face   ,           
